series_id,station_id,station,river,var_id,network,lat,lon,cat_start,cat_end
1,1,Ruta Provincial nº 39,GUALEGUAYCHU,2,alturas_bdhi,-32.4451666666667,-58.5548888888889,2001-05-01T09:00:00,2026-04-30T20:00:00
29862,5,Paso Medina,FELICIANO,39,alturas_bdhi,-30.9236944444444,-59.5512222222222,2001-05-01T00:00:00,2026-04-30T00:00:00
8,8,Andresito,IGUAZU,2,alturas_prefe,-25.5833333333333,-53.9833333333333,1984-01-01T06:00:00,2026-08-30T00:00:00
26605,8,Andresito,IGUAZU,40,alturas_prefe,-25.5833333333333,-53.9833333333333,2006-01-01T00:00:00,2026-08-29T00:00:00
26251,9,Puerto Iguazú,PARANAMED,39,alturas_prefe,-25.5833333333333,-54.5666666666667,1976-01-01T00:00:00,2026-08-29T00:00:00
26606,9,Puerto Iguazú,PARANAMED,40,alturas_prefe,-25.5833333333333,-54.5666666666667,1994-01-01T00:00:00,2020-10-06T00:00:00
10,10,Libertad,PARANAMED,2,alturas_prefe,-25.916679,-54.621134,1931-01-01T07:00:00,2026-08-30T00:00:00
859,10,Libertad,PARANAMED,4,alturas_prefe,-25.916679,-54.621134,2015-07-21T04:00:00,2022-02-14T12:00:00
26607,10,Libertad,PARANAMED,40,alturas_prefe,-25.916679,-54.621134,2015-07-21T00:00:00,2022-02-14T00:00:00
11,11,El Dorado,PARANAMED,2,alturas_prefe,-26.3833333333333,-54.7,1931-03-01T07:00:00,2026-08-30T00:00:00
12,12,Libertador,PARANAMED,2,alturas_prefe,-26.8,-55.0333333333333,1956-03-01T07:00:00,2026-08-30T00:00:00
14,14,Posadas,PARANAMED,2,alturas_prefe,-27.3666666666667,-55.8833333333333,1901-01-02T07:00:00,2026-08-30T00:00:00
863,14,Posadas,PARANAMED,4,alturas_prefe,-27.3666666666667,-55.8833333333333,1901-01-02T07:00:00,2017-09-08T00:00:00
15,15,Ituzaingó,PARANAMED,2,alturas_prefe,-27.5833333333333,-56.7,1910-03-16T07:00:00,2026-08-30T00:00:00
26258,16,Itá Ibaté,PARANAMED,39,alturas_prefe,-27.42336098,-57.33326783,1912-01-01T00:00:00,2026-08-29T00:00:00
26259,17,Itatí,PARANAMED,39,alturas_prefe,-27.26677773,-58.24407387,1912-01-01T00:00:00,2026-08-29T00:00:00
26260,18,Paso de la Patria,PARANAMED,39,alturas_prefe,-27.3333333333333,-58.5833333333333,1970-01-01T00:00:00,2026-08-29T00:00:00
19,19,Corrientes,PARANAMED,2,alturas_prefe,-27.46364349,-58.8388696,1901-01-02T07:00:00,2026-08-30T00:00:00
26261,19,Corrientes,PARANAMED,39,alturas_prefe,-27.46364349,-58.8388696,1901-01-01T00:00:00,2026-08-29T00:00:00
20,20,Barranqueras,BARRANQUERAS,2,alturas_prefe,-27.4833333333333,-58.9333333333333,1906-03-02T07:00:00,2026-08-30T00:00:00
869,20,Barranqueras,BARRANQUERAS,4,alturas_prefe,-27.4833333333333,-58.9333333333333,1985-01-01T06:00:00,2026-07-10T00:00:00
26262,20,Barranqueras,BARRANQUERAS,39,alturas_prefe,-27.4833333333333,-58.9333333333333,1970-01-01T00:00:00,2026-08-29T00:00:00
26617,20,Barranqueras,BARRANQUERAS,40,alturas_prefe,-27.4833333333333,-58.9333333333333,1985-01-01T00:00:00,2026-07-10T00:00:00
21,21,Empedrado,PARANAINF,2,alturas_prefe,-27.95412346,-58.81852419,1912-01-02T07:00:00,2026-08-30T00:00:00
26263,21,Empedrado,PARANAINF,39,alturas_prefe,-27.95412346,-58.81852419,1912-01-01T00:00:00,2026-08-29T00:00:00
