series_id,station,river,var_id,network,lat,lon,years,record_start,start_source,donor,donor_km
9553,Lago Viedma - Lago Viedma,,2,sat2,-49.3944444444444,-72.8694444444444,5.7,2021-09-01,catalogue,LAGO VIEDMA - LAGO VIEDMA,0.0
19,Corrientes,PARANAMED,2,alturas_prefe,-27.46364349,-58.8388696,125.7,1901-01-02,catalogue,,
29507,Paraná Las Palmas - Zárate,Paraná de las Palmas,39,sat2,-34.1019444444444,-59.0088888888889,2.7,2024-09-13,catalogue,Puente Jáuregui,56.4
26543,Salado - RN Nº02,,39,sat2,-35.9622222222222,-57.8519444444444,7.7,2019-07-24,catalogue,RN2,37.9
38250,Dulce - Paso de Oscares,,39,sat2,-29.2533333333333,-63.2069444444444,2.7,2024-09-14,catalogue,Salado - Agua Abajo Azud Colonia Dora,83.3
33061,Riacho Salado - Tatané - RN 11,,2,sat2,-26.4077777777778,-58.3591666666667,3.7,2023-02-07,catalogue,Paraguay - La Herradura,19.3
38394,Chubut - Ameghino,,101,sat2,-43.6983333333333,-66.475,2.7,2024-09-16,catalogue,Chubut - Valle Inferior,90.7
6876,Desaguadero - Canalejas,,2,sat2,-35.1686111111111,-66.4963888888889,5.7,2021-09-01,catalogue,Laguna La Picasa - RN33,349.4
37994,Paraná - Vuelta de Obligado,,39,sat2,-33.5941666666667,-59.8130555555556,2.7,2024-09-14,catalogue,La Emilia,53.0
33531,San Javier - Cayastá,,2,sat2,-31.1933333333333,-60.1530555555556,2.7,2024-09-13,catalogue,SAN JAVIER - CAYASTÁ,0.7
38236,Bermejo - P. Sarmiento,,39,sat2,-23.1438888888889,-64.1947222222222,2.7,2024-09-14,catalogue,BERMEJO - POZO SARMIENTO,8.1
38712,Carcarañá - Cruz Alta,,101,sat2,-33.0063888888889,-61.7875,2.7,2024-09-16,catalogue,Carcaraña - Cruz Alta,0.1
38310,Bermejo - El Colorado,,101,sat2,-26.3341666666667,-59.3625,2.7,2024-09-16,catalogue,El Colorado,0.0
38727,Canal Soberanía - Obra Control,,101,sat2,-27.5272222222222,-58.9427777777778,2.7,2024-09-16,catalogue,Resistencia,11.2
914,San Javier,URUGUAY,4,alturas_prefe,-27.8833333333333,-55.1333333333333,103.7,1923-10-02,catalogue,,
26494,Canal Macapillo,,39,sat2,-25.4136111111111,-63.9761111111111,7.7,2019-05-31,catalogue,Canal Macapillo - Macapillo,0.0
34343,Salado - Puente Carretero,,2,sat2,-34.6113888888889,-60.9572222222222,3.7,2023-02-07,catalogue,J.M. García,129.2
37852,Vipos - Toma Obras Sanitarias,,39,sat2,-26.4775,-65.3163888888889,2.7,2024-09-14,catalogue,De las Conchas - La Punilla,72.3
6691,Olivia - Olivia,,2,sat2,-54.7975,-68.2255555555556,5.7,2021-09-01,catalogue,Gallegos - Toma de Agua SP,358.6
38158,Dique Sotomayor - Aguas abajo,,39,sat2,-28.5911111111111,-65.2877777777778,2.7,2024-09-14,catalogue,Dulce - Tuhama,133.0
38749,Aº Esquel - Ea El Principio,,101,sat2,-42.9583333333333,-71.3844444444445,2.7,2024-09-16,catalogue,ESQUEL - ESTANCIA EL PRINCIPIO,0.0
37581,Tunuyán - Las Catitas,,2,sat2,-33.3072222222222,-68.0613888888889,2.7,2024-09-13,catalogue,EL DURAZNO - LA FLORIDA,328.9
6845,Salado - Cañada Ancha,,2,sat2,-35.1975,-69.7672222222222,5.7,2021-09-01,catalogue,EL DURAZNO - LA FLORIDA,566.6
33952,Del Campo - Cabo San Miguel,,2,sat2,-27.4333333333333,-65.9977777777778,1.7,2025-05-23,catalogue,De las Conchas - La Punilla,159.0
37893,Paraná - Goya,,39,sat2,-29.165,-59.3283333333333,1.7,2025-03-17,catalogue,Santa Lucía,29.6
38180,Lag. La Picasa - Escollera FFC,,39,sat2,-34.3372222222222,-62.3247222222222,2.7,2024-09-14,catalogue,Laguna La Picasa - RN33,44.7
73,Bompland,URUGUAY,2,alturas_prefe,-29.872652,-57.332887,20.7,2006-01-01,catalogue,,
38303,Canal Liag - Quebrachal,,101,sat2,-25.3452777777778,-64.045,2.7,2024-09-16,catalogue,JURAMENTO - EL QUEBRACHAL,0.2
26579,Santa Lucia - Santa Lucia,,39,sat2,-28.9877777777778,-59.0905555555556,7.7,2019-10-24,catalogue,Santa Lucía,0.8
34121,Miriñay - San Roquito,,2,sat2,-29.2969444444444,-57.5655555555556,2.7,2024-09-13,catalogue,Miriñay - San Roquito,0.0
39718,Puerto Belgrano,,2,estaciones_shn,-38.89583333,-62.10138889,0.7,2026-03-11,catalogue,Seminario Diocesano de Azul,300.4
3348,Arroyo Las Piedras - Rep. del Líbano,Cuenca Sarandí-Santo Domingo,2,ina_delta,-34.7383417,-58.3096056,8.7,2018-04-06,catalogue,Puente Jáuregui,81.2
38433,Aº Barrancas - Paso La Llana,,101,sat2,-30.2172222222222,-59.3244444444444,2.7,2024-09-16,catalogue,Barrancas - Paso la Llana,0.0
38372,Canal Macapillo,,101,sat2,-25.4136111111111,-63.9761111111111,2.7,2024-09-16,catalogue,Canal Macapillo - Macapillo,0.0
33394,Lago Puelo - Lago Puelo,,2,sat2,-42.0972222222222,-71.6194444444444,2.7,2024-09-13,catalogue,LAGO PUELO - LAGO PUELO,0.3
38788,Hielo - Confluencia,,101,sat2,-43.5166666666667,-71.6091666666667,1.7,2025-08-20,catalogue,CARRENLEUFÚ - PUENTE DE HIERRO,10.4
38470,Grande - La Estrechura,,101,sat2,-35.3194444444444,-70.2886111111111,2.7,2024-09-16,catalogue,EL DURAZNO - LA FLORIDA,613.6
38492,Piray Guazú - R. Nac. 12 Vieja,,101,sat2,-26.4858333333333,-54.5883333333333,2.7,2024-09-20,catalogue,Piray Guazú - Puente Viejo- RN 12,0.1
38688,Dulce - Tuhama,,101,sat2,-28.0144444444444,-64.0980555555555,2.7,2024-09-16,catalogue,Dulce - Tuhama,0.0
33400,Los Antiguos - Los Antiguos,,2,sat2,-46.5541666666667,-71.6397222222222,3.7,2023-02-07,catalogue,Los Antiguos - Ruta Provincial Nº 043,0.0
32008,Atuel - Paso de Loro,,2,sat2,-35.6361111111111,-67.4261111111111,3.7,2023-02-07,catalogue,Laguna La Picasa - RN33,444.9
26590,Nogoya - RN Nº12,,39,sat2,-32.3947222222222,-59.7638888888889,7.7,2019-11-14,catalogue,Ruta Nacional Nº 12,0.0
32997,Neuquén - Chos Malal -RN40,,2,sat2,-37.4063888888889,-70.2291666666667,3.7,2023-02-12,catalogue,Manso - Lago Steffen,470.5
26322,Colón,URUGUAY,39,alturas_prefe,-32.2333333333333,-58.1166666666667,55.7,1971-01-01,catalogue,,
38453,Miriñay - Paso Mesa,,101,sat2,-28.9166666666667,-57.2363888888889,2.7,2024-09-16,catalogue,Miriñay - Paso Mesa,0.2
26462,Salado - Cañada Ancha,,39,sat2,-35.1975,-69.7672222222222,7.7,2019-04-11,catalogue,EL DURAZNO - LA FLORIDA,566.6
6857,Aº El Monje - Autopista A01,,2,sat2,-32.3922222222222,-60.9408333333333,7.7,2019-05-07,catalogue,Autopista,0.1
34219,Laguna Melincué - RP Nº 90,,2,sat2,-33.6680555555556,-61.4722222222222,2.7,2024-12-22,catalogue,Carcaraña - Cruz Alta,79.3
38370,Aº El Monje - Autopista A01,,101,sat2,-32.3922222222222,-60.9408333333333,2.7,2024-09-16,catalogue,Autopista,0.1
34065,Bañado La Estrella - RP Nº28,,2,sat2,-24.4086111111111,-60.3341666666667,3.7,2023-02-07,catalogue,Sauzalito,133.9
37065,Paraná - Ita Cajón,,2,sat2,-25.6047222222222,-54.5941666666667,2.7,2024-09-13,catalogue,Iguazú - Puerto Iguazú,1.9
38298,Atuel - Loma Negra,,101,sat2,-35.2641666666667,-69.2497222222222,2.7,2024-09-16,catalogue,EL DURAZNO - LA FLORIDA,532.9
36835,Aº Los Amores - RN Nº11,,2,sat2,-28.5558333333333,-59.3558333333333,2.7,2024-09-13,catalogue,Los Amores - Ruta Nacional Nº 011,0.0
