series_id,station_id,station,river,variable,var_id,unit,network,procedure,lat,lon,live,n_obs,last_seen,percentiles
1,1,Ruta Provincial nº 39,GUALEGUAYCHU,Altura hidrométrica,2,,alturas_bdhi,,-32.4451666666667,-58.5548888888889,,,,
6654,1,Ruta Provincial nº 39,GUALEGUAYCHU,Caudal,4,,alturas_bdhi,,-32.4451666666667,-58.5548888888889,,,,
851,2,Rosario del Tala,GUALEGUAY,Caudal,4,,alturas_bdhi,,-32.3085,-59.0768055555556,False,0,,
31534,2,Rosario del Tala,GUALEGUAY,Caudal,4,,alturas_bdhi,,-32.3085,-59.0768055555556,,,,
29860,3,Paso Alonso,GUALEGUAY,Altura hidrométrica media diaria,39,,alturas_bdhi,,-33.1006111111111,-59.2703333333333,,,,
42624,3,Paso Alonso,GUALEGUAY,Caudal medio diario,40,,alturas_bdhi,,-33.1006111111111,-59.2703333333333,,,,
4,4,Villaguay,GUALEGUAY,Altura hidrométrica,2,,alturas_bdhi,,-31.8016111111111,-59.126,,,,
29861,4,Villaguay,GUALEGUAY,Altura hidrométrica media diaria,39,,alturas_bdhi,,-31.8016111111111,-59.126,,,,
854,5,Paso Medina,FELICIANO,Caudal,4,,alturas_bdhi,,-30.9236944444444,-59.5512222222222,,,,
29862,5,Paso Medina,FELICIANO,Altura hidrométrica media diaria,39,,alturas_bdhi,,-30.9236944444444,-59.5512222222222,,,,
855,6,Puerto Ruiz,GUALEGUAY,Caudal,4,,alturas_bdhi,,-33.222327,-59.365098,False,0,,
29863,6,Puerto Ruiz,GUALEGUAY,Altura hidrométrica media diaria,39,,alturas_bdhi,,-33.222327,-59.365098,,,,
1514,7,Puente Jáuregui,LUJAN,Caudal,4,,alturas_bdhi,,-34.589146,-59.178504,,,,
29864,7,Puente Jáuregui,LUJAN,Altura hidrométrica media diaria,39,,alturas_bdhi,,-34.589146,-59.178504,,,,
8,8,Andresito,IGUAZU,Altura hidrométrica,2,,alturas_prefe,,-25.5833333333333,-53.9833333333333,,,,
26605,8,Andresito,IGUAZU,Caudal medio diario,40,,alturas_prefe,,-25.5833333333333,-53.9833333333333,,,,
3051,9,Puerto Iguazú,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,-25.5833333333333,-54.5666666666667,,,,
3154,9,Puerto Iguazú,PARANAMED,Caudal,4,,alturas_prefe,,-25.5833333333333,-54.5666666666667,,,,
26251,9,Puerto Iguazú,PARANAMED,Altura hidrométrica media diaria,39,,alturas_prefe,,-25.5833333333333,-54.5666666666667,True,2,2026-08-29T03:00:00.000Z,
26606,9,Puerto Iguazú,PARANAMED,Caudal medio diario,40,,alturas_prefe,,-25.5833333333333,-54.5666666666667,,,,
10,10,Libertad,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,-25.916679,-54.621134,,,,
859,10,Libertad,PARANAMED,Caudal,4,,alturas_prefe,,-25.916679,-54.621134,,,,
26607,10,Libertad,PARANAMED,Caudal medio diario,40,,alturas_prefe,,-25.916679,-54.621134,False,0,,
