series_id,station,river,network,lat,lon,cat_start,cat_end,donor_series_id,donor_station,donor_river,match_type,match_km,river_agrees,combined_years,tier
8,Andresito,IGUAZU,alturas_prefe,-25.5833333333333,-53.9833333333333,1984-01-01T06:00:00,2026-08-30T00:00:00,,,,,,,42.7,1
26605,Andresito,IGUAZU,alturas_prefe,-25.5833333333333,-53.9833333333333,2006-01-01T00:00:00,2026-08-29T00:00:00,,,,,,,20.7,1
26251,Puerto Iguazú,PARANAMED,alturas_prefe,-25.5833333333333,-54.5666666666667,1976-01-01T00:00:00,2026-08-29T00:00:00,,,,,,,50.7,1
10,Libertad,PARANAMED,alturas_prefe,-25.916679,-54.621134,1931-01-01T07:00:00,2026-08-30T00:00:00,6503,Paraná - Puerto Libertad,Paraná,coords,0.04,yes,95.7,1
11,El Dorado,PARANAMED,alturas_prefe,-26.3833333333333,-54.7,1931-03-01T07:00:00,2026-08-30T00:00:00,,,,,,,95.5,1
12,Libertador,PARANAMED,alturas_prefe,-26.8,-55.0333333333333,1956-03-01T07:00:00,2026-08-30T00:00:00,,,,,,,70.5,1
14,Posadas,PARANAMED,alturas_prefe,-27.3666666666667,-55.8833333333333,1901-01-02T07:00:00,2026-08-30T00:00:00,,,,,,,125.7,1
15,Ituzaingó,PARANAMED,alturas_prefe,-27.5833333333333,-56.7,1910-03-16T07:00:00,2026-08-30T00:00:00,,,,,,,116.5,1
26258,Itá Ibaté,PARANAMED,alturas_prefe,-27.42336098,-57.33326783,1912-01-01T00:00:00,2026-08-29T00:00:00,,,,,,,114.7,1
26259,Itatí,PARANAMED,alturas_prefe,-27.26677773,-58.24407387,1912-01-01T00:00:00,2026-08-29T00:00:00,29588,Paraná - Itatí,Paraná,coords,0.06,yes,116.2,1
26260,Paso de la Patria,PARANAMED,alturas_prefe,-27.3333333333333,-58.5833333333333,1970-01-01T00:00:00,2026-08-29T00:00:00,,,,,,,56.7,1
19,Corrientes,PARANAMED,alturas_prefe,-27.46364349,-58.8388696,1901-01-02T07:00:00,2026-08-30T00:00:00,6611,Paraná - Corrientes,Paraná,coords,0.7,yes,125.7,1
26261,Corrientes,PARANAMED,alturas_prefe,-27.46364349,-58.8388696,1901-01-01T00:00:00,2026-08-29T00:00:00,6611,Paraná - Corrientes,Paraná,coords,0.7,yes,125.7,1
20,Barranqueras,BARRANQUERAS,alturas_prefe,-27.4833333333333,-58.9333333333333,1906-03-02T07:00:00,2026-08-30T00:00:00,,,,,,,120.5,1
26262,Barranqueras,BARRANQUERAS,alturas_prefe,-27.4833333333333,-58.9333333333333,1970-01-01T00:00:00,2026-08-29T00:00:00,,,,,,,56.7,1
21,Empedrado,PARANAINF,alturas_prefe,-27.95412346,-58.81852419,1912-01-02T07:00:00,2026-08-30T00:00:00,6621,Paraná - Empedrado,Paraná,coords,0.54,yes,114.7,1
26263,Empedrado,PARANAINF,alturas_prefe,-27.95412346,-58.81852419,1912-01-01T00:00:00,2026-08-29T00:00:00,6621,Paraná - Empedrado,Paraná,coords,0.54,yes,114.7,1
26264,Bella Vista,PARANAINF,alturas_prefe,-28.51840072,-59.05931723,1970-01-01T00:00:00,2026-08-29T00:00:00,,,,,,,56.7,1
26266,Reconquista,SANJAVIER,alturas_prefe,-29.23756092,-59.58115833,1970-01-01T00:00:00,2026-08-29T00:00:00,,,,,,,56.7,1
25,Esquina,PARANAINF,alturas_prefe,-30.01924089,-59.53663483,1903-09-04T07:00:00,2026-08-30T00:00:00,,,,,,,123.0,1
26267,Esquina,PARANAINF,alturas_prefe,-30.01924089,-59.53663483,1970-01-01T00:00:00,2026-08-29T00:00:00,,,,,,,56.7,1
26268,La Paz,PARANAINF,alturas_prefe,-30.73419972,-59.6381167,1903-05-15T00:00:00,2026-08-29T00:00:00,,,,,,,123.3,1
28,Hernandarias,PARANAINF,alturas_prefe,-31.22650904,-59.99193936,1912-01-02T07:00:00,2026-08-30T00:00:00,,,,,,,114.7,1
26270,Hernandarias,PARANAINF,alturas_prefe,-31.22650904,-59.99193936,1970-01-01T00:00:00,2026-08-29T00:00:00,,,,,,,56.7,1
