series_id,station_id,station,river,variable,var_id,unit,network,province,procedure,lat,lon,live,percentiles
1,1,Ruta Provincial nº 39,GUALEGUAYCHU,Altura hidrométrica,2,,alturas_bdhi,,,-32.4451666666667,-58.5548888888889,True,
6654,1,Ruta Provincial nº 39,GUALEGUAYCHU,Caudal,4,,alturas_bdhi,,,-32.4451666666667,-58.5548888888889,True,
851,2,Rosario del Tala,GUALEGUAY,Caudal,4,,alturas_bdhi,,,-32.3085,-59.0768055555556,True,
31534,2,Rosario del Tala,GUALEGUAY,Caudal,4,,alturas_bdhi,,,-32.3085,-59.0768055555556,True,
29860,3,Paso Alonso,GUALEGUAY,Altura hidrométrica media diaria,39,,alturas_bdhi,,,-33.1006111111111,-59.2703333333333,True,
42624,3,Paso Alonso,GUALEGUAY,Caudal medio diario,40,,alturas_bdhi,,,-33.1006111111111,-59.2703333333333,True,
4,4,Villaguay,GUALEGUAY,Altura hidrométrica,2,,alturas_bdhi,,,-31.8016111111111,-59.126,True,
29861,4,Villaguay,GUALEGUAY,Altura hidrométrica media diaria,39,,alturas_bdhi,,,-31.8016111111111,-59.126,True,
854,5,Paso Medina,FELICIANO,Caudal,4,,alturas_bdhi,,,-30.9236944444444,-59.5512222222222,True,
29862,5,Paso Medina,FELICIANO,Altura hidrométrica media diaria,39,,alturas_bdhi,,,-30.9236944444444,-59.5512222222222,True,
855,6,Puerto Ruiz,GUALEGUAY,Caudal,4,,alturas_bdhi,,,-33.222327,-59.365098,True,
29863,6,Puerto Ruiz,GUALEGUAY,Altura hidrométrica media diaria,39,,alturas_bdhi,,,-33.222327,-59.365098,True,
1514,7,Puente Jáuregui,LUJAN,Caudal,4,,alturas_bdhi,,,-34.589146,-59.178504,True,
29864,7,Puente Jáuregui,LUJAN,Altura hidrométrica media diaria,39,,alturas_bdhi,,,-34.589146,-59.178504,True,
8,8,Andresito,IGUAZU,Altura hidrométrica,2,,alturas_prefe,,,-25.5833333333333,-53.9833333333333,True,
26605,8,Andresito,IGUAZU,Caudal medio diario,40,,alturas_prefe,,,-25.5833333333333,-53.9833333333333,True,False
3051,9,Puerto Iguazú,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,,-25.5833333333333,-54.5666666666667,True,
3154,9,Puerto Iguazú,PARANAMED,Caudal,4,,alturas_prefe,,,-25.5833333333333,-54.5666666666667,True,
25487,9,Puerto Iguazú,PARANAMED,Altura hidrométrica media mensual,33,,alturas_prefe,,,-25.5833333333333,-54.5666666666667,True,
26251,9,Puerto Iguazú,PARANAMED,Altura hidrométrica media diaria,39,,alturas_prefe,,,-25.5833333333333,-54.5666666666667,True,
26606,9,Puerto Iguazú,PARANAMED,Caudal medio diario,40,,alturas_prefe,,,-25.5833333333333,-54.5666666666667,True,
10,10,Libertad,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,,-25.916679,-54.621134,True,
859,10,Libertad,PARANAMED,Caudal,4,,alturas_prefe,,,-25.916679,-54.621134,True,
26607,10,Libertad,PARANAMED,Caudal medio diario,40,,alturas_prefe,,,-25.916679,-54.621134,True,
11,11,El Dorado,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,,-26.3833333333333,-54.7,True,
26608,11,El Dorado,PARANAMED,Caudal medio diario,40,,alturas_prefe,,,-26.3833333333333,-54.7,True,
12,12,Libertador,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,,-26.8,-55.0333333333333,True,
26609,12,Libertador,PARANAMED,Caudal medio diario,40,,alturas_prefe,,,-26.8,-55.0333333333333,True,
26610,13,Santa Ana,PARANAMED,Caudal medio diario,40,,alturas_prefe,,,-27.33509,-55.588412,True,
14,14,Posadas,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,,-27.3666666666667,-55.8833333333333,True,
863,14,Posadas,PARANAMED,Caudal,4,,alturas_prefe,,,-27.3666666666667,-55.8833333333333,True,
15,15,Ituzaingó,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,,-27.5833333333333,-56.7,True,
25494,16,Itá Ibaté,PARANAMED,Altura hidrométrica media mensual,33,,alturas_prefe,,,-27.42336098,-57.33326783,True,
26258,16,Itá Ibaté,PARANAMED,Altura hidrométrica media diaria,39,,alturas_prefe,,,-27.42336098,-57.33326783,True,
26259,17,Itatí,PARANAMED,Altura hidrométrica media diaria,39,,alturas_prefe,,,-27.26677773,-58.24407387,True,
867,18,Paso de la Patria,PARANAMED,Caudal,4,,alturas_prefe,,,-27.3333333333333,-58.5833333333333,True,
25496,18,Paso de la Patria,PARANAMED,Altura hidrométrica media mensual,33,,alturas_prefe,,,-27.3333333333333,-58.5833333333333,True,
26260,18,Paso de la Patria,PARANAMED,Altura hidrométrica media diaria,39,,alturas_prefe,,,-27.3333333333333,-58.5833333333333,True,
26615,18,Paso de la Patria,PARANAMED,Caudal medio diario,40,,alturas_prefe,,,-27.3333333333333,-58.5833333333333,True,
19,19,Corrientes,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,,-27.46364349,-58.8388696,True,
1540,19,Corrientes,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,,-27.46364349,-58.8388696,True,
1538,19,Corrientes,PARANAMED,Caudal,4,,alturas_prefe,,,-27.46364349,-58.8388696,True,
26261,19,Corrientes,PARANAMED,Altura hidrométrica media diaria,39,,alturas_prefe,,,-27.46364349,-58.8388696,True,
30113,19,Corrientes,PARANAMED,Caudal medio diario,40,,alturas_prefe,,,-27.46364349,-58.8388696,True,
30114,19,Corrientes,PARANAMED,Caudal medio diario,40,,alturas_prefe,,,-27.46364349,-58.8388696,True,
20,20,Barranqueras,BARRANQUERAS,Altura hidrométrica,2,,alturas_prefe,,,-27.4833333333333,-58.9333333333333,True,
869,20,Barranqueras,BARRANQUERAS,Caudal,4,,alturas_prefe,,,-27.4833333333333,-58.9333333333333,True,
26262,20,Barranqueras,BARRANQUERAS,Altura hidrométrica media diaria,39,,alturas_prefe,,,-27.4833333333333,-58.9333333333333,True,
26617,20,Barranqueras,BARRANQUERAS,Caudal medio diario,40,,alturas_prefe,,,-27.4833333333333,-58.9333333333333,True,
21,21,Empedrado,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,,-27.95412346,-58.81852419,True,
25499,21,Empedrado,PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-27.95412346,-58.81852419,True,
26263,21,Empedrado,PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,,-27.95412346,-58.81852419,True,
26618,21,Empedrado,PARANAINF,Caudal medio diario,40,,alturas_prefe,,,-27.95412346,-58.81852419,True,
871,22,Bella Vista,PARANAINF,Caudal,4,,alturas_prefe,,,-28.51840072,-59.05931723,True,
9617,22,Bella Vista,PARANAINF,Caudal,4,,alturas_prefe,,,-28.51840072,-59.05931723,True,
25500,22,Bella Vista,PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-28.51840072,-59.05931723,True,
26264,22,Bella Vista,PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,,-28.51840072,-59.05931723,True,
26619,22,Bella Vista,PARANAINF,Caudal medio diario,40,,alturas_prefe,,,-28.51840072,-59.05931723,True,
872,23,Goya,PARANAINF,Caudal,4,,alturas_prefe,,,-29.14376844,-59.27303952,True,False
26620,23,Goya,PARANAINF,Caudal medio diario,40,,alturas_prefe,,,-29.14376844,-59.27303952,True,
873,24,Reconquista,SANJAVIER,Caudal,4,,alturas_prefe,,,-29.23756092,-59.58115833,True,
26266,24,Reconquista,SANJAVIER,Altura hidrométrica media diaria,39,,alturas_prefe,,,-29.23756092,-59.58115833,True,
26621,24,Reconquista,SANJAVIER,Caudal medio diario,40,,alturas_prefe,,,-29.23756092,-59.58115833,True,
25,25,Esquina,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,,-30.01924089,-59.53663483,True,
25503,25,Esquina,PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-30.01924089,-59.53663483,True,
26267,25,Esquina,PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,,-30.01924089,-59.53663483,True,
26622,25,Esquina,PARANAINF,Caudal medio diario,40,,alturas_prefe,,,-30.01924089,-59.53663483,True,
3527,26,La Paz,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,,-30.73419972,-59.6381167,True,
26268,26,La Paz,PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,,-30.73419972,-59.6381167,True,
26623,26,La Paz,PARANAINF,Caudal medio diario,40,,alturas_prefe,,,-30.73419972,-59.6381167,True,
876,27,Santa Elena,PARANAINF,Caudal,4,,alturas_prefe,,,-30.95,-59.7833333333333,True,
26624,27,Santa Elena,PARANAINF,Caudal medio diario,40,,alturas_prefe,,,-30.95,-59.7833333333333,True,
28,28,Hernandarias,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,,-31.22650904,-59.99193936,True,
26270,28,Hernandarias,PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,,-31.22650904,-59.99193936,True,
26625,28,Hernandarias,PARANAINF,Caudal medio diario,40,,alturas_prefe,,,-31.22650904,-59.99193936,True,
3385,29,Paraná,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,,-31.7182378629681,-60.5225697750899,True,
3462,29,Paraná,PARANAINF,Caudal,4,,alturas_prefe,,,-31.7182378629681,-60.5225697750899,True,
25507,29,Paraná,PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-31.7182378629681,-60.5225697750899,True,
30111,29,Paraná,PARANAINF,Caudal medio diario,40,,alturas_prefe,,,-31.7182378629681,-60.5225697750899,True,
1545,30,Santa Fe,PARANAINF,Caudal,4,,alturas_prefe,,,-31.6514772196376,-60.7002319185745,True,
31,31,Diamante,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,,-32.0715615377843,-60.6432219715378,True,
880,31,Diamante,PARANAINF,Caudal,4,,alturas_prefe,,,-32.0715615377843,-60.6432219715378,True,
3490,31,Diamante,PARANAINF,Caudal,4,,alturas_prefe,,,-32.0715615377843,-60.6432219715378,True,
3532,31,Diamante,PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-32.0715615377843,-60.6432219715378,True,
26273,31,Diamante,PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,,-32.0715615377843,-60.6432219715378,True,
